[2024-05-06 18:24:07 : INFO] - Could not find file for image: ID=284866, file= 
[2024-05-06 18:24:07 : INFO] - Could not find file for image: ID=283070, file= 
[2024-05-06 18:24:07 : INFO] - Could not find file for image: ID=282992, file= 
[2024-05-06 18:24:07 : INFO] - Could not find file for image: ID=282989, file= 
[2024-05-06 18:24:07 : INFO] - Could not find file for image: ID=282986, file= 
[2024-05-06 18:24:07 : INFO] - Could not find file for image: ID=277089, file=/var/www/turbobid/html/wp-content/uploads/2024/01/z5098229599189_9220076530428bc6c212ac4fad543f95-2.jpg-2.jpg 
[2024-05-06 18:24:07 : INFO] - Could not find file for image: ID=277087, file=/var/www/turbobid/html/wp-content/uploads/2024/01/z5098229625040_1f87ccd31c6355774ca16f98037cebcb-2.jpg-2.jpg 
[2024-05-06 18:24:07 : INFO] - Could not find file for image: ID=277046, file=/var/www/turbobid/html/wp-content/uploads/2024/01/z5098230278480_7a9f9cca07abe778347783ad9196e08e.jpg.jpg 
[2024-05-06 18:24:07 : INFO] - Could not find file for image: ID=277028, file=/var/www/turbobid/html/wp-content/uploads/2024/01/z5098229624290_738cc8100ff11bb8bf38e0debc370c77.jpg.jpg 
[2024-05-06 18:24:07 : INFO] - Could not find file for image: ID=273155, file= 
[2024-05-06 18:24:07 : INFO] - Could not find file for image: ID=273152, file= 
[2024-05-06 18:24:07 : INFO] - Could not find file for image: ID=127609, file= 
[2024-05-06 18:24:07 : INFO] - Could not find file for image: ID=123157, file= 
[2024-05-06 18:24:07 : INFO] - Could not find file for image: ID=94615, file= 
[2024-05-06 18:24:07 : INFO] - Could not find file for image: ID=4539, file= 
[2024-05-06 18:24:07 : INFO] - Could not find file for image: ID=4197, file= 
[2024-05-06 18:24:07 : INFO] - Could not find file for image: ID=4080, file= 
[2024-05-06 18:37:13 : INFO] - Could not find file for image: ID=284866, file= 
[2024-05-06 18:37:13 : INFO] - Could not find file for image: ID=283070, file= 
[2024-05-06 18:37:13 : INFO] - Could not find file for image: ID=282992, file= 
[2024-05-06 18:37:13 : INFO] - Could not find file for image: ID=282989, file= 
[2024-05-06 18:37:13 : INFO] - Could not find file for image: ID=282986, file= 
[2024-05-06 18:37:13 : INFO] - Could not find file for image: ID=277089, file=/var/www/turbobid/html/wp-content/uploads/2024/01/z5098229599189_9220076530428bc6c212ac4fad543f95-2.jpg-2.jpg 
[2024-05-06 18:37:13 : INFO] - Could not find file for image: ID=277087, file=/var/www/turbobid/html/wp-content/uploads/2024/01/z5098229625040_1f87ccd31c6355774ca16f98037cebcb-2.jpg-2.jpg 
[2024-05-06 18:37:13 : INFO] - Could not find file for image: ID=277046, file=/var/www/turbobid/html/wp-content/uploads/2024/01/z5098230278480_7a9f9cca07abe778347783ad9196e08e.jpg.jpg 
[2024-05-06 18:37:13 : INFO] - Could not find file for image: ID=277028, file=/var/www/turbobid/html/wp-content/uploads/2024/01/z5098229624290_738cc8100ff11bb8bf38e0debc370c77.jpg.jpg 
[2024-05-06 18:37:13 : INFO] - Could not find file for image: ID=273155, file= 
[2024-05-06 18:37:13 : INFO] - Could not find file for image: ID=273152, file= 
[2024-05-06 18:37:13 : INFO] - Could not find file for image: ID=127609, file= 
[2024-05-06 18:37:13 : INFO] - Could not find file for image: ID=123157, file= 
[2024-05-06 18:37:13 : INFO] - Could not find file for image: ID=94615, file= 
[2024-05-06 18:37:13 : INFO] - Could not find file for image: ID=4539, file= 
[2024-05-06 18:37:13 : INFO] - Could not find file for image: ID=4197, file= 
[2024-05-06 18:37:13 : INFO] - Could not find file for image: ID=4080, file= 
[2024-05-06 18:37:39 : INFO] - Re_Smush_It_Task server status: Online 
[2024-05-06 18:37:40 : INFO] - Could not find file for image: ID=284866, file= 
[2024-05-06 18:37:40 : INFO] - Could not find file for image: ID=283070, file= 
[2024-05-06 18:37:40 : INFO] - Could not find file for image: ID=282992, file= 
[2024-05-06 18:37:40 : INFO] - Could not find file for image: ID=282989, file= 
[2024-05-06 18:37:40 : INFO] - Could not find file for image: ID=282986, file= 
[2024-05-06 18:37:40 : INFO] - Could not find file for image: ID=277089, file=/var/www/turbobid/html/wp-content/uploads/2024/01/z5098229599189_9220076530428bc6c212ac4fad543f95-2.jpg-2.jpg 
[2024-05-06 18:37:40 : INFO] - Could not find file for image: ID=277087, file=/var/www/turbobid/html/wp-content/uploads/2024/01/z5098229625040_1f87ccd31c6355774ca16f98037cebcb-2.jpg-2.jpg 
[2024-05-06 18:37:40 : INFO] - Could not find file for image: ID=277046, file=/var/www/turbobid/html/wp-content/uploads/2024/01/z5098230278480_7a9f9cca07abe778347783ad9196e08e.jpg.jpg 
[2024-05-06 18:37:40 : INFO] - Could not find file for image: ID=277028, file=/var/www/turbobid/html/wp-content/uploads/2024/01/z5098229624290_738cc8100ff11bb8bf38e0debc370c77.jpg.jpg 
[2024-05-06 18:37:40 : INFO] - Could not find file for image: ID=273155, file= 
[2024-05-06 18:37:40 : INFO] - Could not find file for image: ID=273152, file= 
[2024-05-06 18:37:40 : INFO] - Could not find file for image: ID=127609, file= 
[2024-05-06 18:37:40 : INFO] - Could not find file for image: ID=123157, file= 
[2024-05-06 18:37:40 : INFO] - Could not find file for image: ID=94615, file= 
[2024-05-06 18:37:40 : INFO] - Could not find file for image: ID=4539, file= 
[2024-05-06 18:37:40 : INFO] - Could not find file for image: ID=4197, file= 
[2024-05-06 18:37:40 : INFO] - Could not find file for image: ID=4080, file= 
[2024-05-06 18:37:43 : INFO] - Could not find file for image: ID=284866, file= 
[2024-05-06 18:37:43 : INFO] - Could not find file for image: ID=283070, file= 
[2024-05-06 18:37:43 : INFO] - Could not find file for image: ID=282992, file= 
[2024-05-06 18:37:43 : INFO] - Could not find file for image: ID=282989, file= 
[2024-05-06 18:37:43 : INFO] - Could not find file for image: ID=282986, file= 
[2024-05-06 18:37:43 : INFO] - Could not find file for image: ID=277089, file=/var/www/turbobid/html/wp-content/uploads/2024/01/z5098229599189_9220076530428bc6c212ac4fad543f95-2.jpg-2.jpg 
[2024-05-06 18:37:43 : INFO] - Could not find file for image: ID=277087, file=/var/www/turbobid/html/wp-content/uploads/2024/01/z5098229625040_1f87ccd31c6355774ca16f98037cebcb-2.jpg-2.jpg 
[2024-05-06 18:37:43 : INFO] - Could not find file for image: ID=277046, file=/var/www/turbobid/html/wp-content/uploads/2024/01/z5098230278480_7a9f9cca07abe778347783ad9196e08e.jpg.jpg 
[2024-05-06 18:37:43 : INFO] - Could not find file for image: ID=277028, file=/var/www/turbobid/html/wp-content/uploads/2024/01/z5098229624290_738cc8100ff11bb8bf38e0debc370c77.jpg.jpg 
[2024-05-06 18:37:43 : INFO] - Could not find file for image: ID=273155, file= 
[2024-05-06 18:37:43 : INFO] - Could not find file for image: ID=273152, file= 
[2024-05-06 18:37:44 : INFO] - Could not find file for image: ID=127609, file= 
[2024-05-06 18:37:44 : INFO] - Could not find file for image: ID=123157, file= 
[2024-05-06 18:37:44 : INFO] - Could not find file for image: ID=94615, file= 
[2024-05-06 18:37:44 : INFO] - Could not find file for image: ID=4539, file= 
[2024-05-06 18:37:44 : INFO] - Could not find file for image: ID=4197, file= 
[2024-05-06 18:37:44 : INFO] - Could not find file for image: ID=4080, file= 
[2024-05-06 18:37:46 : INFO] - Could not find file for image: ID=284866, file= 
[2024-05-06 18:37:46 : INFO] - Could not find file for image: ID=283070, file= 
[2024-05-06 18:37:46 : INFO] - Could not find file for image: ID=282992, file= 
[2024-05-06 18:37:46 : INFO] - Could not find file for image: ID=282989, file= 
[2024-05-06 18:37:46 : INFO] - Could not find file for image: ID=282986, file= 
[2024-05-06 18:37:46 : INFO] - Could not find file for image: ID=277089, file=/var/www/turbobid/html/wp-content/uploads/2024/01/z5098229599189_9220076530428bc6c212ac4fad543f95-2.jpg-2.jpg 
[2024-05-06 18:37:46 : INFO] - Could not find file for image: ID=277087, file=/var/www/turbobid/html/wp-content/uploads/2024/01/z5098229625040_1f87ccd31c6355774ca16f98037cebcb-2.jpg-2.jpg 
[2024-05-06 18:37:46 : INFO] - Could not find file for image: ID=277046, file=/var/www/turbobid/html/wp-content/uploads/2024/01/z5098230278480_7a9f9cca07abe778347783ad9196e08e.jpg.jpg 
[2024-05-06 18:37:46 : INFO] - Could not find file for image: ID=277028, file=/var/www/turbobid/html/wp-content/uploads/2024/01/z5098229624290_738cc8100ff11bb8bf38e0debc370c77.jpg.jpg 
[2024-05-06 18:37:46 : INFO] - Could not find file for image: ID=273155, file= 
[2024-05-06 18:37:46 : INFO] - Could not find file for image: ID=273152, file= 
[2024-05-06 18:37:46 : INFO] - Could not find file for image: ID=127609, file= 
[2024-05-06 18:37:46 : INFO] - Could not find file for image: ID=123157, file= 
